Unique ID,Car Type,Year,Makes,Models,Nickname,Year Makes Models,Special Access,Reward,Shop Series,DLC Date/Pack,FE Boost,Rarity,Car Value,Class,PI,S,H,A,L,B,HP,T,Wt,Wt / HP,%,Displ,Aspiration,Engine,Cylinders,Eng,Drive,Track Width,R Tire,Aero or kit Options,Engine Conversions (hp),PI RWD,PI AWD,Aspiration Options,Naturally Aspirated,Region,Country,Model Family,Open Top,Doors,Steering,Wheels,No lights,Car Themes,0-60 Sec,0-100 Sec,1/4 Mile,Top Speed,60-0 Feet,100-0 Ft,60 mph g's,100mph g's,60-100 sec,Added,filter
11,Modern Sports Cars,2014,Alfa Romeo,4C,Alfa Romeo 4C,2014 Alfa Romeo 4C,,,,,,Common,"74,000",A,770,6.6,7.1,6.5,8.8,7.0,240,238,2072,8.63,43,1742,T,Inline,4,M,RWD,Both,235,Safety Lights,"321, 300, 475",770,771,none,eng,Europe,Italy,,,2,L,4,,,4.400,10.600,13.133,161.3,143.8,353.6,0.96,1.03,6.200,9/7/2018,Factory
12,GT Cars,2007,Alfa Romeo,8C Competizione Forza Edition,Alfa Romeo 8C FE,2007 Alfa Romeo 8C Competizione Forza Edition,Exclusive,"S11, S14, S19, S24, S27",S3.1,,Credits,FE,"550,000",S1,855,7.5,8.4,8.0,9.4,8.6,450,354,3086,6.86,49,4691,NA,V,8,F,RWD,Both,285,Forza,"510, 602",855,850,CS,stock,Europe,Italy,,,2,L,4,,CS,4.200,9.300,,194.6,134.7,302.6,1.34,1.46,5.100,9/28/2018,Upgraded
13,GT Cars,2007,Alfa Romeo,8C Competizione,Alfa Romeo 8C,2007 Alfa Romeo 8C Competizione,,,,,,Legendary,"300,000",A,777,7.5,6.6,6.6,8.2,6.8,450,354,3495,7.77,49,4691,NA,V,8,F,RWD,Both,285,Forza,"510, 602",777,776,CS,stock,Europe,Italy,,,2,L,4,,CS,4.200,9.316,12.400,193.7,151.3,355.5,0.92,0.97,5.116,9/7/2018,Factory
14,Retro Saloons,1992,Alfa Romeo,155 Q4,Alfa Romeo 155,1992 Alfa Romeo 155 Q4,Exclusive,S30,,202012 Series 30,,Epic,"250,000",C,541,6.2,5.0,5.8,7.9,4.7,187,219,3064,16.39,61,1995,T,Inline,4,F,AWD,Both,205,"Aftermarket, Bodykit","300, 506, 450, 360",541,551,none,no,Europe,Italy,,,4,L,4,,RPC,6.700,18.600,14.183,147.4,182.8,473.3,0.79,0.78,11.900,8/15/2017,Factory
15,Classic Racers,1968,Alfa Romeo,33 Stradale,Alfa Romeo 33S,1968 Alfa Romeo 33 Stradale,,"S11, S19, S20",S28.3,,,Legendary,"10,000,000",A,716,6.9,5.8,6.9,8.6,5.5,245,148,1543,6.30,40,1995,NA,V,8,M,RWD,Both,315,Forza,300,716,729,TT,stock,Europe,Italy,,,2,L,4,,"OR, CS, HR",5.500,11.800,11.633,170.0,163.9,403.2,0.86,0.85,6.300,9/7/2018,Factory
16,Classic Racers,1965,Alfa Romeo,Giulia TZ2,Alfa Romeo TZ2,1965 Alfa Romeo Giulia TZ2,,,"S13.4, S16 BF, S20.1, S26.1",,,Legendary,"2,500,000",B,639,6.3,5.7,5.8,7.0,5.1,170,130,1367,8.04,54,1570,NA,Inline,4,F,RWD,Both,245,Forza,"321, 300",639,653,T,stock,Europe,Italy,,,2,L,4,,"CS, HR",5.820,13.313,13.167,152.5,186.1,450.9,0.82,0.83,7.493,9/7/2018,Race
17,Rare Classics,1965,Alfa Romeo,Giulia Sprint GTA Stradale,Alfa Romeo GTA,1965 Alfa Romeo Giulia Sprint GTA Stradale,,S4,,,,Epic,"300,000",D,432,5.1,4.6,5.4,6.9,4.5,115,105,1676,14.57,54,1570,NA,Inline,4,F,RWD,Both,165,Forza,"321, 212, 300",,,"T, CS",stock,Europe,Italy,,,2,L,4,,,7.900,24.000,15.233,114.2,203.0,497.2,0.72,0.72,16.100,9/7/2018,Factory
18,Vintage Racers,1934,Alfa Romeo,P3,Alfa Romeo P3,1934 Alfa Romeo P3,Exclusive,Castle,,,,Legendary,"10,000,000",B,626,6.6,5.0,5.6,7.1,4.9,285,300,1653,5.80,50,3165,PDS,Inline,8,F,RWD,no,145,none,510,626,718,none,no,Europe,Italy,,Yes,1,C,4,x,HR,4.489,9.200,12.067,157.9,187.7,461.7,0.74,0.73,4.711,9/7/2018,Race
19,Modern Sports Cars,2017,Alpine,A110,Alpine A110 '17,2017 Alpine A110,Exclusive,"S17, S19, S26",S22.1,201912 Series 17,,Epic,"250,000",A,740,6.7,7.0,6.9,8.5,6.9,248,236,2432,9.81,44,1798,T,Inline,4,M,RWD,Both,235,Forza,300,740,734,none,no,Europe,France,,,2,L,4,,,4.313,11.615,,164.5,146.7,360.4,0.96,1.03,7.302,12/12/2019,Factory
20,Offroad Buggies,2015,Alumi Craft,Class 10 Race Car Forza Edition,Alumi Craft FE,2015 Alumi Craft Class 10 Race Car Forza Edition,Exclusive,"Wheelspin, S5, S19, S22, S26, S29","S1.4, S10.2",,Destruction,FE,"350,000",B,679,5.3,6.5,6.8,8.1,6.3,196,190,2200,11.22,45,2384,NA,Inline,4,R,RWD,no,265,Preset,300,,,none,stock,N. America,U.S.,,side,2,L,4,,,5.581,17.079,,122.9,158.4,389.3,0.86,0.85,11.498,9/28/2018,Upgraded
21,Offroad Buggies,2015,Alumi Craft,Class 10 Race Car,Alumi Craft C.10,2015 Alumi Craft Class 10 Race Car,,,,,,Epic,"100,000",B,673,5.3,6.5,6.6,7.9,6.2,196,190,2200,11.22,45,2384,NA,Inline,4,R,RWD,no,265,none,300,673,679,none,stock,N. America,U.S.,,side,2,L,4,,,5.582,17.079,14.367,122.9,161.3,394.9,0.85,0.85,11.497,9/7/2018,Race
22,Cult Cars,1973,AMC,Gremlin X,AMC Gremlin,1973 AMC Gremlin X,,,,,,Common,"35,000",D,394,5.0,4.4,5.2,6.6,4.4,150,245,2840,18.93,54,5000,NA,V,8,F,RWD,Both,205,Hood,"415, 640, 425h, 700",394,411,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,9.600,25.100,,112.8,205.3,495.3,0.73,0.73,15.500,9/7/2018,Factory
23,Classic Muscle,1971,AMC,Javelin AMX,AMC Javelin,1971 AMC Javelin AMX,,,,,,Common,"35,000",C,512,5.4,4.5,5.2,6.6,4.2,330,430,3445,10.44,53,3445,NA,V,8,F,RWD,Rear,215,Hood,"415, 640, 700",512,534,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,6.500,15.500,14.300,126.2,202.2,500.8,0.73,0.73,9.000,9/7/2018,Factory
24,Classic Muscle,1970,AMC,"Rebel ""The Machine""",AMC Rebel,"1970 AMC Rebel ""The Machine""",Exclusive,"S10, S13, S20, S24, S25, S29","S12.3, S17.2",201906 Series 10,,Legendary,"250,000",C,541,5.9,4.6,5.3,6.8,4.4,340,427,3650,10.74,55,6392,NA,V,8,F,RWD,Both,215,Hood,"415, 640, 700, 850, 1750",541,558,"TT, PDS",stock,N. America,U.S.,,,2,L,4,,,6.400,14.500,13.917,141.1,205.8,500.2,0.72,0.72,8.100,8/8/2017,Factory
25,Extreme Offroad,2554,AMG TD,M12S Warthog CST,M12S Warthog CST,2554 AMG TD M12S Warthog CST,,,,,,Legendary,"850,000",A,756,5.2,7.1,9.7,10.0,7.5,720,855,5071,7.04,54,8003,TT,V,8,F,AWD,no,420,none,850,756,752,none,no,N. America,U.S.,,Yes,2,L,4,,HH,3.811,9.560,,117.9,238.3,439.4,0.93,0.92,5.749,9/7/2018,Fantasy
26,Extreme Track Toys,2018,Apollo,Intensa Emozione,Apollo IE '18,2018 Apollo Intensa Emozione,Exclusive,"S9, S27","S11, S14, S16 BF, S24",201905 Series 9,,Legendary,"1,050,000",S2,984,7.9,10.0,8.3,9.6,10.0,780,560,2756,3.53,45,6300,NA,V,12,M,RWD,no,325,Adjustable,"750, 850",984,976,TT,stock,Europe,Germany,,,2,R,4,,,2.616,5.200,,205.0,93.0,208.6,1.54,2.04,2.584,5/7/2019,Factory
27,Offroad Buggies,2016,Ariel,Nomad,Ariel Nomad,2016 Ariel Nomad,,,,,,Epic,"93,000",A,732,6.0,6.3,7.6,9.2,6.1,236,221,1477,6.26,38,2354,NA,Inline,4,R,RWD,no,235,Rally lights,"300, 475",732,753,"T, PDS",stock,Europe,U.K.,,Yes,2,R,4,,OR,3.400,8.700,11.783,142.9,167.2,412.0,0.79,0.80,5.300,9/7/2018,Factory
28,Extreme Track Toys,2013,Ariel,Atom 500 V8,Ariel Atom,2013 Ariel Atom 500 V8,Exclusive,Horizon Life,,,,Epic,"108,000",S2,970,7.0,10.0,8.6,9.8,10.0,475,268,1433,3.02,36,2970,NA,V,8,M,RWD,no,245,Forza,"475, 510",970,960,TT,stock,Europe,U.K.,,Yes,2,R,4,,SS,3.015,5.700,10.217,177.2,109.1,246.1,1.32,1.78,2.685,9/7/2018,Factory
29,Modern Super Cars,2012,Ascari,KZ1R,Ascari KZ1R,2012 Ascari KZ1R,,,,,,Legendary,"240,000",S1,866,7.9,8.6,7.4,8.6,8.9,520,398,2976,5.72,46,4948,NA,V,8,M,RWD,no,335,Forza,750,,,"TT, CS",stock,Europe,U.K.,,,2,L,4,,,3.717,8.200,,202.1,114.6,276.0,1.22,1.38,4.483,9/7/2018,Race
30,Super GT,2019,Aston Martin,DBS Superleggera,AM DBS SL '19,2019 Aston Martin DBS Superleggera,Exclusive,"S12, S21","S14, S17, S23, S28",201908 Series 12,,Epic,"250,000",S1,853,8.2,7.4,6.9,8.5,8.1,715,663,3966,5.55,51,5204,TT,V,12,F,RWD,Both,305,Forza,820,853,859,none,eng,Europe,U.K.,,,2,L,4,,,3.412,6.400,,214.0,123.3,305.8,1.05,1.12,2.988,8/1/2019,Factory
31,Super GT,2018,Aston Martin,Vantage,AM Vantage '18,2018 Aston Martin Vantage,DLC store,Free w/DLC,,FH4 Car Pass / Brit,,Epic,"430,000",S1,822,7.5,7.5,6.9,8.6,7.9,503,505,3497,6.95,50,3982,TT,V,8,F,RWD,Both,295,Forza,"602, 608, 750",822,820,none,eng,Europe,U.K.,,,2,R,4,,,3.500,8.400,,192.6,128.7,315.4,1.05,1.13,4.900,11/20/2018,Factory
32,Extreme Track Toys,2017,Aston Martin,Vulcan AMR Pro,AM Vulcan AMR,2017 Aston Martin Vulcan AMR Pro,Exclusive,"S19, S26, S29",,202002 Series 19,,Epic,"1,500,000",S2,954,7.7,10.0,7.5,9.0,10.0,820,590,2998,3.66,54,6949,NA,V,12,F,RWD,Both,345,Adjustable,750,954,951,none,stock,Europe,U.K.,,,2,L,4,,,3.000,5.816,,201.9,97.5,215.1,1.54,1.90,2.816,2/10/2020,Race
33,Super GT,2017,Aston Martin,DB11 PreOrder Car,AM DB11 PO,2017 Aston Martin DB11 PreOrder Car,DLC promo,Free w/DLC,S17.1,FH4 Retail Bonus,,Epic,"300,000",S1,900,8.9,8.2,6.7,8.3,8.7,800,646,2866,3.58,51,5204,,V,12,F,RWD,no,,,,,,,,Europe,U.K.,,,2,L,4,,,,,,,,,,,,6/11/2018,Upgraded
34,Super GT,2017,Aston Martin,Vanquish Zagato Coupe,AM Vanquish '17,2017 Aston Martin Vanquish Zagato Coupe,Exclusive,"S12, S15, S19, S27",S16 BF,201908 Series 12,,Epic,"250,000",S1,824,7.8,7.3,6.9,8.5,8.0,595,464,3891,6.54,51,5935,NA,V,12,F,RWD,Both,305,Forza,820,824,823,"TT, PDS",stock,Europe,U.K.,,,2,R,4,,,3.500,7.700,,202.5,125.8,310.7,1.04,1.10,4.200,8/1/2019,Factory
35,Super GT,2017,Aston Martin,DB11,AM DB11,2017 Aston Martin DB11,,,,,,Epic,"300,000",S1,810,7.8,7.1,6.8,8.4,7.6,608,516,4134,6.80,51,5204,TT,V,12,F,RWD,Both,295,Forza,608,810,817,none,no,Europe,U.K.,,,2,L,4,,BRG,2.700,6.655,11.900,199.7,129.2,315.8,1.02,1.07,3.955,9/7/2018,Factory
36,Extreme Track Toys,2016,Aston Martin,Vulcan Forza Edition,AM Vulcan FE,2016 Aston Martin Vulcan Forza Edition,Exclusive,"Wheelspin, S1, S4, S23","S5, S9",,Clean Skills,FE,"1,750,000",S2,955,8.1,10.0,7.5,9.0,10.0,820,590,2998,3.66,54,6949,NA,V,12,F,RWD,no,345,Preset,"750, 820",955,954,none,stock,Europe,U.K.,,,2,L,4,,,,,,,,,,,.000,9/28/2018,Upgraded
37,Extreme Track Toys,2016,Aston Martin,Vulcan,AM Vulcan,2016 Aston Martin Vulcan,,,S16.1,,,Legendary,"1,500,000",S2,954,8.1,10.0,7.5,9.0,10.0,820,590,2998,3.66,54,6949,NA,V,12,F,RWD,Both,345,Adjustable,"750, 820",954,952,none,stock,Europe,U.K.,,,2,L,4,,,3.000,5.700,11.117,211.0,98.3,222.0,1.51,1.82,2.700,9/7/2018,Race
38,Track Toys,2016,Aston Martin,Vantage GT12,AM Vantage '16,2016 Aston Martin Vantage GT12,,,,,,Epic,"400,000",S1,846,7.2,8.4,6.9,8.5,9.1,593,461,3450,5.82,51,5935,NA,V,12,F,RWD,no,325,Forza,750,846,839,PDS,stock,Europe,U.K.,,,2,R,4,,,3.700,8.000,11.667,180.2,121.6,288.2,1.11,1.26,4.300,9/7/2018,Factory
39,Super GT,2013,Aston Martin,V12 Vantage S,Vantage S '13,2013 Aston Martin V12 Vantage S,,"S12, S30",,,,Rare,"240,000",S1,814,8.2,6.9,6.6,8.2,7.4,565,457,3671,6.50,52,5935,NA,V,12,F,RWD,Both,295,Forza,750,814,812,PDS,stock,Europe,U.K.,,,2,L,4,,,4.100,8.800,12.067,213.9,154.1,350.0,0.96,1.01,4.700,9/7/2018,Factory
40,Super GT,2012,Aston Martin,Vanquish,AM Vanquish,2012 Aston Martin Vanquish,,,,,,Epic,"348,000",S1,802,7.9,7.0,6.7,8.3,7.5,565,457,3834,6.79,51,5935,NA,V,12,F,RWD,Front,305,Forza,none,802,806,TT,stock,Europe,U.K.,,,2,L,4,,,4.200,8.800,11.933,200.1,134.3,331.0,0.96,1.02,4.600,9/7/2018,Factory
41,Super GT,2010,Aston Martin,One-77,AM One-77,2010 Aston Martin One-77,,"S9, S21","S26, S30",,,Legendary,"1,400,000",S1,863,8.3,7.5,7.1,8.7,8.0,750,553,3307,4.41,49,7312,NA,V,12,F,RWD,Both,335,Forza,none,863,866,TT,stock,Europe,U.K.,,,2,L,4,,CS,3.500,6.900,11.240,210.5,122.1,302.9,1.08,1.14,3.400,9/7/2018,Factory
42,Rare Classics,1964,Aston Martin,DB5,AM DB5,1964 Aston Martin DB5,,,,,,Epic,"800,000",C,534,6.2,4.7,5.6,7.1,4.3,325,288,3230,9.94,51,3996,NA,Inline,6,F,RWD,Both,215,Forza,"510, 602",534,555,T,stock,Europe,U.K.,,,2,R,4,,"BRG, IMC",8.100,19.000,15.500,151.4,198.1,496.4,0.73,0.73,10.900,9/7/2018,Factory
43,Classic Sports Cars,1960,Aston Martin,DB4 GT Zagato,AM DB4 GT,1960 Aston Martin DB4 GT Zagato,Exclusive,Barn Find (Seasonal),,,,Legendary,"500,000",B,619,6.9,5.4,4.6,5.1,4.6,314,278,2701,8.60,52,3670,NA,Inline,6,F,RWD,Both,195,Street,321,619,643,T,stock,Europe,U.K.,,,2,R,4,,,5.984,14.983,15.100,171.9,190.2,476.7,0.75,0.74,8.999,9/7/2018,Factory
44,Classic Racers,1958,Aston Martin,DBR1,AM DBR1,1958 Aston Martin DBR1,,"S21, S29",S7,,,Legendary,"10,000,000",B,688,7.1,5.6,5.3,6.1,5.1,254,247,1930,7.60,52,2992,NA,Inline,6,F,RWD,Both,185,Forza,"321, 300",688,704,"T, PDS",stock,Europe,U.K.,,Yes,2,R,4,,"HR, WFRC",4.200,11.200,13.717,178.6,168.3,427.3,0.78,0.77,7.000,9/7/2018,Race
45,Modern Super Cars,2018,ATS,GT,ATS GT '18,2018 ATS GT,Exclusive,"S16, S19, S25, S27",S16,201911 Series 16,,Epic,"250,000",S1,894,8.3,8.0,7.7,9.2,8.6,720,575,2985,4.15,42,3799,TT,V,8,M,RWD,Both,325,Forza,"602, 750",894,891,none,,Europe,Italy,,,2,L,4,,,2.900,5.600,,220.4,118.2,285.1,1.10,1.21,2.700,11/19/2019,Factory
46,Modern Super Cars,2016,Audi,R8 V10 plus,Audi R8 V10 plus,2016 Audi R8 V10 plus,,,,,,Legendary,"242,000",S1,856,8.2,7.5,9.1,9.9,8.1,610,413,3428,5.62,44,5204,NA,V,10,M,AWD,Both,305,Forza,750,855,856,TT,stock,Europe,Germany,,,2,L,4,,,2.700,6.116,10.400,215.6,125.5,300.1,1.06,1.13,3.416,9/7/2018,Factory
47,Super Saloons,2015,Audi,RS 6 Avant,Audi RS 6 '15,2015 Audi RS 6 Avant,,,,,,Epic,"150,000",A,778,7.8,6.2,8.8,10.0,6.7,552,516,4266,7.73,53,4000,TT,V,8,F,AWD,Both,285,Preset WB Safety Lights,602,774,778,none,eng,Europe,Germany,,,2,L,4,,,3.700,8.717,11.533,203.0,153.2,355.8,0.90,0.92,5.017,9/7/2018,Factory
48,Modern Sports Cars,2015,Audi,TTS Coupe,Audi TTS,2015 Audi TTS Coupe,,,,,,Rare,"52,000",A,740,7.4,6.4,7.3,9.0,5.8,310,280,3053,9.85,57,1984,T,Inline,4,F,AWD,Both,255,Forza,300,740,740,none,eng,Europe,Germany,TT,,2,L,4,,,5.121,12.821,13.033,187.1,164.6,406.0,0.91,0.94,7.700,9/7/2018,Factory
49,Hot Hatch,2015,Audi,S1,Audi S1,2015 Audi S1,,,S16.2,,,Rare,"35,000",B,679,6.3,6.3,6.8,8.7,6.6,228,273,2899,12.71,60,1984,T,Inline,4,F,AWD,Both,225,Forza,300,695,679,none,no,Europe,Germany,,,3,L,4,,DD,5.800,14.900,13.567,154.8,155.1,373.3,0.89,0.92,9.100,9/7/2018,Factory
50,Modern Super Cars,2013,Audi,R8 Coupe V10 plus 5.2 FSI quattro,Audi R8 '13,2013 Audi R8 Coupe V10 plus 5.2 FSI quattro,,,,,,Rare,"290,000",S1,824,7.8,7.2,8.5,9.5,7.7,542,398,3682,6.79,44,5204,NA,V,10,M,AWD,Both,295,Preset / Roof,750,821,824,TT,stock,Europe,Germany,,,2,L,4,,FF,3.200,7.100,11.050,202.6,127.3,311.3,0.96,1.04,3.900,9/7/2018,Factory
51,Super Saloons,2013,Audi,RS 7 Sportback,Audi RS 7,2013 Audi RS 7 Sportback,,,,,,Legendary,"225,000",A,761,8.0,6.1,8.3,9.9,6.5,552,553,4310,7.81,60,3993,TT,V,8,F,AWD,no,275,Preset / WB,602,754,761,none,eng,Europe,Germany,,,4LB,L,4,,,3.700,8.700,11.833,205.6,190.2,398.2,0.89,0.90,5.000,9/7/2018,Factory
52,Super Saloons,2013,Audi,RS 4 Avant,Audi RS 4 '13,2013 Audi RS 4 Avant,,,,,,Epic,"83,000",A,750,7.5,6.2,7.0,8.7,6.7,444,317,3957,8.91,53,4163,NA,V,8,F,AWD,Both,265,Aftermarket,"510, 602",,,"TT, PDS, CS",stock,Europe,Germany,S4,,5,L,4,,,4.700,10.400,12.117,186.5,150.4,354.4,0.89,0.91,5.700,9/7/2018,Factory
53,Super Saloons,2011,Audi,RS 5 Coupe,Audi RS 5,2011 Audi RS 5 Coupe,,,,,,Epic,"88,000",A,750,7.3,6.5,7.3,9.0,7.0,442,317,3830,8.67,57,4163,NA,V,8,F,AWD,Both,265,Street,"510, 602",,,"TT, PDS, CS",stock,Europe,Germany,,,2,L,4,,,4.500,10.100,12.333,182.2,153.1,354.0,0.92,0.94,5.600,9/7/2018,Factory
54,Super Hot Hatch,2011,Audi,RS 3 Sportback,Audi RS 3,2011 Audi RS 3 Sportback,,,,,,Rare,"42,000",B,699,6.7,6.1,6.8,8.9,6.3,335,332,3472,10.36,60,2480,T,Inline,5,F,AWD,Both,225,Street,300,702,699,none,eng,Europe,Germany,,,5,L,4,,DD,4.500,11.700,13.033,166.2,149.6,371.3,0.88,0.89,7.200,9/7/2018,Factory
55,Modern Sports Cars,2010,Audi,TT RS Coupe,Audi TT RS,2010 Audi TT RS Coupe,Exclusive,"Wheelspin | S6, S10, S16, S21, S28",,,,Epic,"66,000",A,722,7.2,6.3,7.3,9.2,6.2,335,332,3294,9.83,60,2480,T,Inline,5,F,AWD,no,255,Aftermarket,300,733,722,none,eng,Europe,Germany,TT,,2,L,4,,DD,4.400,11.100,12.983,181.5,154.5,376.4,0.90,0.93,6.700,9/7/2018,Factory
56,Super Saloons,2009,Audi,RS 6,Audi RS 6 '09,2009 Audi RS 6,,,,,,Epic,"155,000",A,743,8.0,6.2,7.6,9.1,6.7,570,478,4376,7.68,59,5000,TT,V,10,F,AWD,Both,275,Forza,none,,,none,no,Europe,Germany,,,4,L,4,,,4.400,9.900,12.700,196.9,187.3,391.9,0.89,0.92,5.500,1/12/2010,Factory
57,Super Saloons,2006,Audi,RS 4,Audi RS 4 '06,2006 Audi RS 4,,,,,,Epic,"53,000",A,729,7.5,6.2,7.5,8.9,6.2,420,317,3638,8.66,58,4163,NA,V,8,F,AWD,Both,255,Forza,"510, 602",740,729,"T, TT, PDS, CS",stock,Europe,Germany,S4,,4,L,4,,,4.700,11.200,13.000,191.0,192.9,387.1,0.89,0.91,6.500,9/7/2018,Factory
58,Retro Saloons,2003,Audi,RS 6,Audi RS 6 '03,2003 Audi RS 6,,,,,,Epic,"105,000",A,710,7.4,5.9,6.7,8.4,5.8,450,415,4024,8.94,59,4172,TT,V,8,F,AWD,Both,255,Forza,"510, 602",,,none,eng,Europe,Germany,,,4,L,4,,,4.400,10.700,12.800,187.9,150.8,376.6,0.86,0.88,6.300,9/7/2018,Factory
59,Retro Saloons,2001,Audi,RS 4 Avant,Audi RS 4 '01,2001 Audi RS 4 Avant,,,,,,Epic,"94,000",B,695,7.1,6.0,7.1,9.0,5.5,375,324,3571,9.52,55,2671,TT,V,6,F,AWD,Both,255,Forza,510,,,none,eng,Europe,Germany,S4,,5,L,4,,,4.548,11.600,12.733,175.7,154.9,392.8,0.87,0.89,7.052,9/7/2018,Factory
60,Retro Saloons,1995,Audi,RS 2 Avant,Audi RS 2,1995 Audi RS 2 Avant,,,,,,Rare,"50,000",B,616,6.7,5.3,6.6,8.7,5.2,311,302,3517,11.31,58,2226,T,Inline,5,F,AWD,Both,245,Forza,300,,,none,eng,Europe,Germany,,,5,L,4,,,4.800,13.100,13.217,165.5,153.7,389.2,0.86,0.86,8.300,9/7/2018,Factory
